client_id,client_type,first_name,last_name,date_of_birth,gender,country,region,acquisition_purpose,satisfaction_score,loan_applied,referral_channel,age,age_group,client_ref,total_properties_bought,total_investment_value,avg_property_value,max_property_value,avg_floor_area,latest_purchase_date,Apartment,Office,purchase_recency_days,multi_property_buyer_flag,cluster,hierarchical_cluster,buyer_segment
C0017,Individual,Antonio,Porter,1977-01-08,M,USA,Arizona,Personal Use,3,No,Client,49.0,46-60,C0017,5,1778693.75,355738.75,568732.24,1195.8139999999999,2025-02-01,4,1,423,1,3,0,Luxury Investors
C0018,Individual,Luke,Lynn,1967-02-07,M,USA,California,Personal Use,2,Yes,Agency,59.0,46-60,C0018,4,1061478.67,265369.6675,461655.95,913.8325,2025-04-01,4,0,364,1,1,3,Global Investors
C0019,Individual,Anahi,Curry,1957-09-09,M,USA,California,Personal Use,5,Yes,Client,69.0,60+,C0019,4,1773474.26,443368.565,599245.34,1402.0425,2025-11-01,2,2,150,1,3,1,Luxury Investors
C0020,Individual,Camille,Sharp,,F,USA,California,Personal Use,5,No,Website,56.0,46-60,C0020,4,1508032.25,377008.0625,505470.6,1307.08,2025-08-01,4,0,242,1,3,0,Luxury Investors
C0021,Individual,Jesus,Obrien,1938-06-09,M,USA,Oregon,Investment,3,No,Website,88.0,60+,C0021,6,1928172.72,321362.12,555614.35,1028.86,2025-06-01,6,0,303,1,0,0,First-Time Buyers
C0022,Individual,Araceli,Nelson,,M,Germany,Berlin,Investment,5,No,Agency,56.0,46-60,C0022,4,1372403.2,343100.8,453294.55,1247.4850000000001,2025-10-01,4,0,181,1,3,0,Luxury Investors
C0023,Individual,Cole,Taylor,1958-12-06,M,USA,California,Personal Use,3,Yes,Website,68.0,60+,C0023,5,1457871.69,291574.338,408265.89,948.3880000000001,2025-09-01,5,0,211,1,1,0,Global Investors
C0024,Individual,Alonso,Terrell,1963-11-05,M,USA,California,Investment,4,No,Website,63.0,60+,C0024,6,1884156.9000000001,314026.15,560195.06,1053.735,2025-09-01,6,0,211,1,0,0,First-Time Buyers
C0025,Individual,Rodolfo,Gibson,,M,USA,Nevada,Personal Use,2,Yes,Website,56.0,46-60,C0025,5,1694448.83,338889.766,518174.75,1120.576,2025-04-01,5,0,364,1,3,0,Luxury Investors
C0026,Individual,Joseph,Reeves,,M,USA,California,Investment,5,No,Website,56.0,46-60,C0026,10,2932241.75,293224.175,436987.95,1002.383,2025-09-01,9,1,211,1,0,2,First-Time Buyers
C0027,Individual,Grant,Weber,1968-09-08,M,USA,California,Personal Use,5,Yes,Website,58.0,46-60,C0027,5,1517969.44,303593.888,427086.44,1070.234,2025-03-01,3,2,395,1,1,0,Global Investors
C0028,Individual,Ava,Phelps,,F,USA,California,Personal Use,3,No,Client,56.0,46-60,C0028,5,1791082.79,358216.558,512682.59,1266.366,2024-12-01,4,1,485,1,3,1,Luxury Investors
C0029,Individual,Kyla,Walker,,F,USA,Colorado,Personal Use,4,Yes,Agency,56.0,46-60,C0029,4,1247795.31,311948.8275,410549.3,993.05,2025-09-01,3,1,211,1,1,0,Global Investors
C0030,Individual,Alanna,Hess,,F,USA,Nevada,Personal Use,3,No,Website,56.0,46-60,C0030,4,1547311.29,386827.8225,545645.2,1279.3725,2025-10-01,4,0,181,1,3,0,Luxury Investors
C0031,Individual,Skylar,Buchanan,,M,USA,Nevada,Personal Use,4,Yes,Website,56.0,46-60,C0031,5,1077148.21,215429.642,258061.02,677.3399999999999,2025-12-01,4,1,120,1,1,0,Global Investors
C0032,Individual,Rodrigo,Robinson,1966-08-11,M,USA,California,Personal Use,4,No,Website,60.0,46-60,C0032,5,1888995.1600000001,377799.032,490429.65,1282.528,2025-05-01,4,1,334,1,0,0,First-Time Buyers
C0033,Individual,Lydia,Tate,,F,USA,California,Personal Use,3,Yes,Website,56.0,46-60,C0033,4,1404998.67,351249.6675,376964.62,1250.4325,2025-07-01,3,1,273,1,3,1,Luxury Investors
C0034,Individual,Lauryn,Patrick,,F,Belgium,Brussels,Personal Use,2,No,Agency,56.0,46-60,C0034,5,1632608.66,326521.73199999996,508462.97,1160.556,2025-07-01,5,0,273,1,1,0,Global Investors
C0035,Individual,Diego,Mendez,1965-05-12,M,Mexico,Mexico City,Personal Use,3,No,Agency,61.0,60+,C0035,5,1987876.4,397575.27999999997,539968.61,1445.752,2025-09-01,5,0,211,1,3,0,Luxury Investors
C0036,Individual,Victor,Jensen,1973-09-01,M,USA,California,Personal Use,4,No,Website,53.0,46-60,C0036,4,1173683.53,293420.8825,437900.49,963.325,2025-06-01,4,0,303,1,1,0,Global Investors
C0037,Individual,Scarlet,Hendricks,,F,USA,California,Personal Use,5,Yes,Website,56.0,46-60,C0037,5,1607228.75,321445.75,482067.87,1018.368,2025-10-01,5,0,181,1,1,0,Global Investors
C0038,Individual,Janelle,Espinoza,,F,USA,California,Investment,4,No,Client,56.0,46-60,C0038,4,1175129.27,293782.3175,407214.29,1105.1225,2024-06-01,3,1,668,1,2,3,Corporate Buyers
C0039,Individual,Aleksandra,Karenina,,F,Russia,Krasnodar Krai,Personal Use,1,No,Agency,56.0,46-60,C0039,4,1858527.54,464631.885,626247.03,1365.68,2024-12-01,3,1,485,1,3,1,Luxury Investors
C0040,Individual,Conner,Huff,,M,USA,Nevada,Personal Use,5,No,Website,56.0,46-60,C0040,6,1854608.29,309101.38166666665,507842.87,1047.8,2024-12-01,6,0,485,1,0,2,First-Time Buyers
C0041,Individual,Zain,Horne,,M,USA,Arizona,Personal Use,1,Yes,Website,56.0,46-60,C0041,5,1374460.79,274892.158,405898.92,872.838,2025-10-01,3,2,181,1,1,0,Global Investors
C0042,Individual,Maia,Chandler,1975-08-12,F,USA,Utah,Personal Use,1,Yes,Website,51.0,46-60,C0042,4,1101390.25,275347.5625,364280.42,913.8425,2025-08-01,3,1,242,1,1,0,Global Investors
C0043,Individual,Jordyn,Park,1965-04-04,M,USA,Nevada,Investment,3,Yes,Website,61.0,60+,C0043,4,1126492.46,281623.115,467216.3,983.505,2025-10-01,4,0,181,1,1,0,Global Investors
C0044,Individual,Diana,Hunt,,F,USA,Arizona,Personal Use,3,No,Website,56.0,46-60,C0044,4,1330493.26,332623.315,519866.77,1106.8675,2025-11-01,4,0,150,1,1,0,Global Investors
C0045,Individual,Kevin,Mata,1968-10-12,M,USA,Colorado,Investment,2,No,Agency,58.0,46-60,C0045,5,1463432.3599999999,292686.47199999995,592737.69,913.774,2025-09-01,5,0,211,1,1,0,Global Investors
C0046,Individual,Brisa,Mckee,,F,USA,California,Personal Use,5,No,Client,56.0,46-60,C0046,8,2026517.4,253314.675,388515.14,857.8050000000001,2025-10-01,8,0,181,1,0,2,First-Time Buyers
C0047,Individual,Mason,Gilbert,,M,USA,Colorado,Personal Use,2,No,Agency,56.0,46-60,C0047,5,1438239.28,287647.856,459403.88,953.568,2025-10-01,5,0,181,1,1,0,Global Investors
C0048,Individual,Derick,Li,,M,USA,California,Personal Use,3,Yes,Agency,56.0,46-60,C0048,4,1338718.0,334679.5,493044.25,1026.3200000000002,2025-05-01,4,0,334,1,1,3,Global Investors
C0049,Individual,Jace,Riggs,,F,USA,California,Personal Use,1,No,Website,56.0,46-60,C0049,4,1390091.2,347522.8,533120.65,1204.3675,2025-08-01,4,0,242,1,1,0,Global Investors
C0050,Individual,Jair,Johns,1940-03-05,M,USA,California,Personal Use,5,No,Website,86.0,60+,C0050,9,2744452.35,304939.15,486685.38,993.5088888888889,2025-04-01,8,1,364,1,0,2,First-Time Buyers
C0051,Individual,Matilda,Madden,1941-03-03,F,USA,Colorado,Personal Use,3,No,Agency,85.0,60+,C0051,4,1270440.42,317610.105,564388.0,1039.56,2025-03-01,4,0,395,1,2,0,Corporate Buyers
C0052,Individual,Myla,Ewing,1967-02-03,F,USA,Oregon,Investment,2,No,Client,59.0,46-60,C0052,4,1474211.53,368552.8825,555271.92,1187.925,2025-11-01,4,0,150,1,3,0,Luxury Investors
C0053,Individual,Miguel,Walter,1954-01-07,M,USA,Arizona,Personal Use,4,No,Agency,72.0,60+,C0053,4,1120539.44,280134.86,368589.72,929.245,2025-08-01,4,0,242,1,1,3,Global Investors
C0054,Corporate,Bridger CAL,Co,,M,USA,Nevada,Investment,5,No,Website,56.0,46-60,C0054,6,2109277.6,351546.26666666666,435374.92,1115.6333333333334,2025-10-01,2,4,181,1,0,0,First-Time Buyers
C0055,Individual,Mara,Franco,1973-06-07,F,USA,California,Personal Use,5,Yes,Agency,53.0,46-60,C0055,4,1178979.21,294744.8025,416304.72,989.8299999999999,2025-12-01,4,0,120,1,1,0,Global Investors
C0056,Individual,Erik,Mora,1964-12-07,M,USA,Oregon,Investment,5,No,Agency,62.0,60+,C0056,4,1579301.3599999999,394825.33999999997,559835.83,1355.5975,2025-10-01,3,1,181,1,3,0,Luxury Investors
C0057,Individual,Henry,Kennedy,1933-06-08,M,USA,California,Personal Use,4,Yes,Agency,93.0,60+,C0057,5,2020519.52,404103.904,589905.02,1344.1439999999998,2025-10-01,4,1,181,1,0,0,First-Time Buyers
C0058,Corporate,Kenyon,Co,1969-05-03,F,USA,California,Investment,1,Yes,Website,57.0,46-60,C0058,5,1441406.17,288281.234,494246.62,919.8399999999999,2025-12-01,3,2,120,1,1,0,Global Investors
C0059,Individual,Oswaldo,Palmer,,M,USA,California,Personal Use,2,No,Website,56.0,46-60,C0059,4,1278854.25,319713.5625,488077.62,1102.44,2025-10-01,3,1,181,1,1,0,Global Investors
C0060,Individual,Kassidy,Vega,1972-05-07,F,USA,California,Personal Use,5,No,Website,54.0,46-60,C0060,4,1355662.25,338915.5625,485561.11,1119.4675,2025-03-01,4,0,395,1,2,0,Corporate Buyers
C0061,Individual,Morgan,Glass,1967-05-12,M,USA,Utah,Personal Use,5,No,Agency,59.0,46-60,C0061,4,1306907.58,326726.895,402081.8,1101.62,2025-10-01,4,0,181,1,1,0,Global Investors
C0062,Individual,Tyler,Carr,,M,USA,California,Personal Use,5,Yes,Client,56.0,46-60,C0062,5,1489333.49,297866.698,443358.25,1059.8319999999999,2025-07-01,5,0,273,1,1,0,Global Investors
C0063,Individual,Yesenia,Marquez,,F,USA,Arizona,Personal Use,4,No,Website,56.0,46-60,C0063,5,1625480.88,325096.176,538375.93,1112.538,2025-06-01,5,0,303,1,1,0,Global Investors
C0064,Individual,Gordon,Brown,1974-02-10,M,UK,Northern Ireland,Investment,4,No,Agency,52.0,46-60,C0064,4,1448881.28,362220.32,574929.03,1095.85,2024-11-01,4,0,515,1,2,3,Corporate Buyers
C0065,Individual,Rodrigo,Ramirez,,M,USA,California,Personal Use,1,No,Agency,56.0,46-60,C0065,4,1557125.73,389281.4325,539032.17,1261.5275,2025-06-01,3,1,303,1,3,0,Luxury Investors
C0066,Individual,Melanie,Holland,,F,USA,California,Investment,3,No,Client,56.0,46-60,C0066,4,1107164.17,276791.0425,366314.0,932.7550000000001,2025-12-01,3,1,120,1,1,3,Global Investors
C0067,Individual,Enrique,Cardenas,1977-06-10,M,USA,California,Personal Use,2,No,Website,49.0,46-60,C0067,5,1431941.84,286388.368,468196.39,851.818,2025-10-01,4,1,181,1,1,0,Global Investors
C0068,Individual,Helen,Williamson,,F,USA,Colorado,Personal Use,5,Yes,Agency,56.0,46-60,C0068,4,1572779.33,393194.8325,459558.39,1450.2925,2025-10-01,3,1,181,1,3,1,Luxury Investors
C0069,Individual,Isis,Rios,1970-04-01,M,USA,California,Investment,4,No,Website,56.0,46-60,C0069,5,1439142.47,287828.494,479080.93,957.588,2025-12-01,5,0,120,1,1,0,Global Investors
C0070,Individual,Kayley,Nielsen,,F,USA,Arizona,Personal Use,4,Yes,Website,56.0,46-60,C0070,5,1521570.62,304314.124,448702.07,1039.274,2025-09-01,4,1,211,1,1,0,Global Investors
C0071,Individual,Donavan,Flowers,,M,USA,California,Personal Use,1,Yes,Client,56.0,46-60,C0071,5,1150384.09,230076.81800000003,415775.9,833.3799999999999,2025-07-01,5,0,273,1,1,3,Global Investors
C0072,Individual,Augustus,Hinton,1953-02-03,M,USA,Nevada,Investment,2,No,Website,73.0,60+,C0072,6,2246488.58,374414.76333333337,674634.08,1129.4916666666666,2025-11-01,5,1,150,1,0,0,First-Time Buyers
C0073,Individual,Alejandra,Greer,1965-01-11,F,Denmark,Capital Region,Investment,1,No,Agency,61.0,60+,C0073,4,1413902.33,353475.5825,527107.1,1194.0325,2025-10-01,4,0,181,1,1,0,Global Investors
C0074,Individual,Violet,Nixon,1959-01-01,F,USA,Oregon,Investment,5,No,Client,67.0,60+,C0074,5,1709458.65,341891.73,573381.83,1138.044,2025-08-01,3,2,242,1,0,0,First-Time Buyers
C0075,Individual,Jaelyn,Berger,1970-05-05,F,USA,California,Personal Use,3,No,Website,56.0,46-60,C0075,4,1269395.74,317348.935,590971.72,1048.3425,2025-03-01,3,1,395,1,2,0,Corporate Buyers
C0076,Individual,Tristian,Fuller,,M,USA,California,Personal Use,5,No,Agency,56.0,46-60,C0076,6,1905852.0899999999,317642.01499999996,534630.42,1067.28,2025-05-01,6,0,334,1,0,0,First-Time Buyers
C0077,Individual,Christian,Costa,,M,USA,California,Personal Use,5,No,Website,56.0,46-60,C0077,5,1880012.18,376002.436,590130.14,1191.826,2025-08-01,3,2,242,1,0,0,First-Time Buyers
C0078,Individual,Nora,Lynch,,F,USA,California,Personal Use,5,No,Website,56.0,46-60,C0078,4,1685882.3900000001,421470.59750000003,485944.71,1415.63,2025-02-01,4,0,423,1,3,0,Luxury Investors
C0079,Individual,Dangelo,Shea,,M,Belgium,Brussels,Investment,4,No,Website,56.0,46-60,C0079,4,1456436.3,364109.075,579893.68,1219.0675,2025-11-01,2,2,150,1,3,0,Luxury Investors
C0080,Individual,Aiyana,Christensen,,F,USA,California,Investment,3,No,Website,56.0,46-60,C0080,5,1427531.56,285506.31200000003,502978.74,965.024,2025-09-01,5,0,211,1,1,0,Global Investors
C0081,Individual,Sidney,Cline,,F,USA,California,Personal Use,4,Yes,Website,56.0,46-60,C0081,4,1522144.26,380536.065,655054.84,1252.745,2025-09-01,3,1,211,1,3,1,Luxury Investors
C0082,Individual,Kaitlin,Owen,,F,USA,Virginia,Investment,5,No,Client,56.0,46-60,C0082,5,1282267.95,256453.59,336673.91,884.2239999999999,2025-12-01,5,0,120,1,1,0,Global Investors
C0083,Individual,Issac,Edwards,,M,USA,California,Personal Use,5,No,Website,56.0,46-60,C0083,6,1513641.46,252273.57666666666,360807.72,851.395,2025-10-01,6,0,181,1,0,2,First-Time Buyers
C0084,Individual,Zaiden,Merritt,,M,USA,Wyoming,Personal Use,3,No,Agency,56.0,46-60,C0084,5,1762231.92,352446.38399999996,517695.89,1083.6119999999999,2025-04-01,3,2,364,1,0,0,First-Time Buyers
C0085,Individual,Iris,Larsen,,M,USA,California,Personal Use,4,Yes,Agency,56.0,46-60,C0085,4,1185505.46,296376.365,480842.09,986.395,2025-11-01,4,0,150,1,1,3,Global Investors
C0086,Individual,Grace,Stein,,F,USA,California,Personal Use,3,Yes,Website,56.0,46-60,C0086,5,1928188.6099999999,385637.72199999995,525721.08,1354.634,2025-10-01,5,0,181,1,0,1,First-Time Buyers
C0087,Individual,Alessandra,Perry,,F,USA,California,Personal Use,4,No,Agency,56.0,46-60,C0087,4,1681153.28,420288.32,508371.29,1287.6625,2025-11-01,3,1,150,1,3,0,Luxury Investors
C0088,Individual,Jamal,Mueller,,M,USA,Oregon,Investment,2,No,Website,56.0,46-60,C0088,6,1450519.57,241753.2616666667,308622.38,786.9733333333334,2025-02-01,5,1,423,1,0,0,First-Time Buyers
C0089,Individual,Irvin,Ellis,,M,USA,California,Personal Use,3,No,Agency,56.0,46-60,C0089,4,1041853.81,260463.4525,302297.34,854.79,2025-09-01,4,0,211,1,1,3,Global Investors
C0090,Individual,Terry,Forbes,,M,USA,California,Personal Use,5,No,Client,56.0,46-60,C0090,5,980850.4199999999,196170.08399999997,252200.58,703.798,2025-08-01,5,0,242,1,1,3,Global Investors
C0091,Individual,Jacqueline,Grant,,F,USA,California,Personal Use,4,No,Website,56.0,46-60,C0091,4,1356644.74,339161.185,432448.91,1161.6775,2024-12-01,4,0,485,1,2,0,Corporate Buyers
C0092,Individual,Brock,Fischer,,M,USA,Kansas,Personal Use,3,No,Website,56.0,46-60,C0092,8,2817926.96,352240.87,536812.04,1218.0425,2025-10-01,7,1,181,1,0,2,First-Time Buyers
C0093,Individual,Curtis,Howard,1962-09-11,M,USA,California,Personal Use,2,No,Agency,64.0,60+,C0093,5,1732558.38,346511.676,438704.41,1196.466,2025-12-01,5,0,120,1,0,2,First-Time Buyers
C0094,Individual,Avah,Huang,,F,USA,California,Personal Use,5,No,Website,56.0,46-60,C0094,5,1062675.82,212535.16400000002,292598.12,692.664,2025-12-01,4,1,120,1,1,3,Global Investors
C0095,Individual,Frank,Meyer,,M,USA,California,Personal Use,3,Yes,Agency,56.0,46-60,C0095,6,1668973.02,278162.17,384992.37,923.105,2025-10-01,4,2,181,1,0,0,First-Time Buyers
C0096,Individual,Darien,Dorsey,,M,USA,California,Investment,3,Yes,Website,56.0,46-60,C0096,4,1363013.17,340753.2925,452667.01,1113.615,2025-11-01,4,0,150,1,1,0,Global Investors
C0097,Individual,Franklin,Mack,,M,USA,Virginia,Personal Use,5,Yes,Website,56.0,46-60,C0097,7,2189906.04,312843.72000000003,491025.48,1061.722857142857,2025-04-01,5,2,364,1,0,2,First-Time Buyers
C0098,Individual,Elena,Petrova,,F,Russia,Saint Petersburg,Personal Use,3,Yes,Agency,56.0,46-60,C0098,4,1131592.65,282898.1625,427106.32,981.955,2024-11-01,4,0,515,1,2,3,Corporate Buyers
C0099,Individual,Jack,Hanson,1941-12-01,M,USA,California,Investment,4,No,Website,85.0,60+,C0099,6,2000308.58,333384.76333333337,417894.67,1201.5883333333334,2025-05-01,5,1,334,1,0,0,First-Time Buyers
C0100,Individual,Emmett,Estes,1969-06-05,M,USA,California,Personal Use,3,No,Website,57.0,46-60,C0100,4,1449544.65,362386.1625,526802.73,1174.44,2024-08-01,4,0,607,1,2,1,Corporate Buyers
C0101,Individual,Aniya,Miller,1951-03-02,F,USA,Nevada,Personal Use,3,No,Website,75.0,60+,C0101,4,1125013.8,281253.45,392645.79,874.345,2025-09-01,3,1,211,1,1,0,Global Investors
C0102,Individual,Jack,Anderson,,M,USA,California,Investment,5,Yes,Website,56.0,46-60,C0102,9,3403263.85,378140.4277777778,621956.37,1222.908888888889,2025-11-01,8,1,150,1,0,2,First-Time Buyers
C0103,Individual,Kael,Hurley,,M,USA,Colorado,Personal Use,3,No,Website,56.0,46-60,C0103,5,1483838.77,296767.754,408331.77,964.9799999999999,2025-09-01,5,0,211,1,1,0,Global Investors
C0104,Individual,Kamden,Stewart,,M,USA,California,Personal Use,5,No,Website,56.0,46-60,C0104,5,1677155.01,335431.002,510060.4,1090.3,2025-11-01,4,1,150,1,0,0,First-Time Buyers
C0105,Individual,Aniyah,Ali,1959-11-03,F,USA,California,Investment,2,Yes,Website,67.0,60+,C0105,5,1328084.36,265616.87200000003,338774.34,850.948,2025-09-01,3,2,211,1,1,0,Global Investors
C0106,Individual,Simon,Bennett,1953-06-09,M,USA,Colorado,Personal Use,4,No,Website,73.0,60+,C0106,4,957679.27,239419.8175,452919.18,820.9825000000001,2025-10-01,4,0,181,1,1,3,Global Investors
C0107,Individual,Laurel,Benitez,1959-08-06,M,USA,California,Personal Use,4,Yes,Agency,67.0,60+,C0107,5,1715058.23,343011.646,537998.71,1102.66,2025-06-01,4,1,303,1,0,0,First-Time Buyers
C0108,Individual,Trey,Strong,,M,USA,California,Personal Use,4,No,Agency,56.0,46-60,C0108,6,1998798.72,333133.12,583919.98,1104.1699999999998,2025-08-01,5,1,242,1,0,0,First-Time Buyers
C0109,Individual,Myah,Roman,1933-05-05,F,USA,California,Investment,5,Yes,Agency,93.0,60+,C0109,5,1995551.0899999999,399110.218,579807.82,1285.854,2025-09-01,3,2,211,1,0,0,First-Time Buyers
C0110,Individual,Nyla,Blake,1959-06-05,F,USA,California,Investment,5,Yes,Agency,67.0,60+,C0110,5,1205555.46,241111.092,487772.33,811.4019999999999,2025-08-01,5,0,242,1,1,0,Global Investors
C0111,Individual,Kole,Shannon,,M,USA,Arizona,Personal Use,2,Yes,Website,56.0,46-60,C0111,4,1198421.22,299605.305,476038.28,896.7175,2025-07-01,4,0,273,1,1,0,Global Investors
C0112,Individual,Melany,Glover,1960-10-01,F,USA,California,Investment,1,Yes,Agency,66.0,60+,C0112,5,1775142.2,355028.44,619787.84,1115.986,2025-12-01,5,0,120,1,0,0,First-Time Buyers
C0113,Individual,Arthur,Bray,,M,USA,Utah,Investment,4,No,Agency,56.0,46-60,C0113,4,1414433.46,353608.365,535865.96,1186.715,2025-12-01,4,0,120,1,1,0,Global Investors
C0114,Individual,Kamila,Collier,,F,USA,California,Personal Use,1,Yes,Website,56.0,46-60,C0114,4,1124004.05,281001.0125,382143.98,932.9449999999999,2025-06-01,4,0,303,1,1,0,Global Investors
C0115,Individual,Amanda,Simon,1978-12-03,F,USA,California,Personal Use,5,No,Agency,48.0,46-60,C0115,5,1757354.59,351470.918,460001.26,1143.692,2025-11-01,3,2,150,1,0,0,First-Time Buyers
C0116,Individual,Erika,Steward,1955-08-07,F,USA,California,Investment,4,No,Website,71.0,60+,C0116,8,2484590.08,310573.76,629574.18,1039.8925,2025-10-01,7,1,181,1,0,2,First-Time Buyers
C0117,Individual,Jakobe,Bailey,1964-10-06,M,UK,Scotland,Investment,4,No,Agency,62.0,60+,C0117,8,2884556.25,360569.53125,602366.78,1135.78625,2025-11-01,5,3,150,1,0,2,First-Time Buyers
C0118,Individual,Sonia,Choi,1948-11-09,F,USA,Oregon,Investment,5,No,Agency,78.0,60+,C0118,4,1218377.19,304594.2975,461101.0,1009.1225,2025-02-01,3,1,423,1,2,0,Corporate Buyers
C0119,Individual,Erika,Gallagher,,F,USA,California,Personal Use,1,Yes,Website,56.0,46-60,C0119,4,1603043.92,400760.98,527627.25,1399.315,2025-12-01,4,0,120,1,3,1,Luxury Investors
C0120,Individual,Madeline,Michael,,F,USA,California,Personal Use,4,Yes,Website,56.0,46-60,C0120,5,1753587.39,350717.478,577922.22,1243.96,2025-10-01,5,0,181,1,0,0,First-Time Buyers
C0121,Individual,Bennett,Chen,,M,USA,Nevada,Personal Use,2,No,Website,56.0,46-60,C0121,5,1169150.31,233830.062,418772.73,806.688,2025-12-01,5,0,120,1,1,0,Global Investors
C0122,Individual,Belinda,Hogan,,F,USA,California,Personal Use,1,Yes,Agency,56.0,46-60,C0122,4,1412560.68,353140.17,550180.2,1085.975,2025-07-01,4,0,273,1,1,0,Global Investors
C0123,Individual,Johanna,Fisher,,F,USA,California,Personal Use,4,Yes,Website,56.0,46-60,C0123,5,1821348.69,364269.738,502456.39,1230.6599999999999,2025-08-01,5,0,242,1,0,0,First-Time Buyers
C0124,Individual,Jaylen,Turner,,F,USA,California,Personal Use,4,No,Agency,56.0,46-60,C0124,5,1613985.08,322797.016,367468.14,1184.6299999999999,2024-11-01,4,1,515,1,2,1,Corporate Buyers
C0125,Individual,Michael,Juarez,,M,USA,Colorado,Personal Use,4,Yes,Agency,56.0,46-60,C0125,4,1341108.25,335277.0625,503351.9,1148.5475,2024-06-01,3,1,668,1,2,3,Corporate Buyers
C0126,Individual,Adriana,Shaffer,1972-07-11,F,USA,California,Investment,2,No,Agency,54.0,46-60,C0126,5,1319929.46,263985.892,498779.18,850.052,2025-08-01,4,1,242,1,1,0,Global Investors
C0127,Individual,Julio,Leonard,,M,USA,Nevada,Personal Use,2,Yes,Website,56.0,46-60,C0127,4,967474.23,241868.5575,355073.4,765.085,2025-10-01,4,0,181,1,1,0,Global Investors
C0128,Corporate,Abdiel,Co,,M,USA,Nevada,Investment,5,Yes,Website,56.0,46-60,C0128,5,1639392.9500000002,327878.59,535798.14,1054.034,2025-12-01,4,1,120,1,0,0,First-Time Buyers
